Personagem,Localizacao,Filme / Livro,Adjetivo / Característica,Frase
"Visão","Radar de aeroporto","Ray","Que cita o vizinho como fonte","Não coloque a carroça na frente dos bois."
"Groot","Hangar de manutenção de aviões","Johnny e June","Que cita a internet como prova","Quem muito quer nada tem."
"Rocket Raccoon","Pista de pouso de fazenda","Amy","Que jura de pé junto","Cão que ladra não morde."
"Gamora","Aeroclube no fim de semana","À Procura de Sugar Man","Que promete e esquece na hora","Devagar se vai ao longe."
"Nick Fury","Balsa atravessando o rio","Woodstock","Que combina e nunca aparece","Pau que nasce torto morre torto."
"Venom","Porto com contêineres empilhados","O Som do Silêncio","Que chega sempre no fim","O hábito não faz o monge."
"Duende Verde","Doca de carga e descarga","CODA","Que sai sem se despedir","Longe dos olhos perto do coração."
"Doutor Octopus","Farol com luz girando","O Extraordinário","Que se despede por vinte minutos","Amigos amigos e negócios à parte."
"Magneto","Boia de sinalização no mar","Milagre na Cela 7","Que conta a história do fim para o começo","Quem avisa amigo é."
"Tempestade","Barco pesqueiro na madrugada","Uma Segunda Chance","Que começa a história e esquece o final","De médico e de louco todo mundo tem um pouco."
"Jean Grey","Jangada em alto-mar","Manchester à Beira-Mar","Que muda de assunto no meio","Uma andorinha só não faz verão."
"Professor Xavier","Escuna de passeio turístico","Kramer versus Kramer","Que volta ao assunto anterior sempre","Quem cala consente."
"Demolidor","Píer de madeira ao entardecer","História de um Casamento","Que resume tudo em uma palavra","Antes tarde do que nunca."
"Justiceiro","Marina com iates parados","Namorados para Sempre","Que transforma tudo em palestra","O que os olhos não veem o coração não sente."
"Blade","Trapiche de rio amazônico","Foi Apenas um Sonho","Que dá aula sem ninguém pedir","Gato escaldado tem medo de água fria."
"Motoqueiro Fantasma","Igarapé com canoa","As Horas","Que corrige a gramática dos outros","Quem conta um conto aumenta um ponto."
"Mônica","Encontro das Águas em Manaus","Melancolia","Que corrige a pronúncia dos outros","Rir é o melhor remédio."
"Cebolinha","Floresta amazônica na época de cheia","Dogville","Que traduz o que o outro disse","Tempo é dinheiro para quem tem os dois."
"Cascão","Castanhal no meio da mata","O Farol","Que repete o que o outro disse mais alto","De boas intenções o mundo está cheio."
"Magali","Trilha na Chapada Diamantina","A Bruxa","Que concorda e faz o contrário","Quem tudo quer tudo perde."
"Chico Bento","Vale da Lua na Chapada dos Veadeiros","Hereditário","Que discorda por esporte","Água parada cria mosquito."
"Rosinha","Lagoa dos Lençóis Maranhenses","Midsommar","Que fica em cima do muro","Errar é humano e persistir no erro também."
"Franjinha","Dunas de Jericoacoara ao pôr do sol","Corra","Que muda de opinião a cada minuto","Quem parte e reparte fica com a melhor parte."
"Anjinho","Falésias de Canoa Quebrada","Nós","Que defende o lado errado por teimosia","Depois da tempestade vem a bonança."
"Penadinho","Recife de Porto de Galinhas na maré baixa","Não Olhe","Que pede desculpa e continua igual","A esperança é a última que morre."
"Horácio o dinossauro","Morro de São Paulo na segunda praia","Fale Comigo","Que agradece de forma exagerada","Nunca é tarde para começar de novo."
"Tio Patinhas","Ilha Grande em trilha fechada","Um Lugar Silencioso","Que elogia até o inimigo","Vale mais um vizinho perto do que um parente longe."
"Pato Donald","Centro histórico de Paraty na maré cheia","O Babadook","Que critica até o elogio","Quem não arrisca não petisca."
"Margarida","Ladeiras de Ouro Preto","Invocação do Mal","Que transforma elogio em cobrança","Sabendo esperar tudo chega na hora certa."
"Huguinho Zezinho e Luisinho","Igrejas de Congonhas com os profetas","Atividade Paranormal","Que responde tudo com outra pergunta","Boi manso é que dá a maior chifrada."
"Peninha","Casario de Diamantina","A Hora do Pesadelo","Que responde só com sim ou não","Palavra dita não volta atrás."
"Professor Pardal","Sítio histórico de Olinda","Sexta-Feira 13","Que responde com provérbio","Cada um sabe onde o próprio sapato aperta."
"Pluto","Recife Antigo na noite de show","Halloween a Noite do Terror","Que acha que é o dono do lugar","Não julgue o livro pela capa."
"Minnie","Centro histórico de São Luís com azulejos","O Massacre da Serra Elétrica","Que acha que está sempre atrasado","Eu acabei de ver uma nuvem em formato de boleto."
"Zé Carioca","Alter do Chão na praia de rio","Pânico","Que acha que está sonhando","Alguém aqui sabe consertar guarda-chuva virado do avesso?"
"Pernalonga","Bonito no rio de água transparente","Jogos Mortais","Que acha que já viveu essa cena antes","O meu relógio está andando ao contrário desde ontem."
"Patolino","Gruta do Lago Azul","Premonição","Que acha que é famoso na internet","Você já reparou que ninguém aqui pisca ao mesmo tempo?"
"Papa-Léguas","Serra da Capivara com pinturas rupestres","A Órfã","Que acha que todos são seus fãs","Tem alguém batendo palma dentro da parede."
"Coiote","Delta do Parnaíba de barco","Sobrenatural","Que acha que a comida está estragada","Eu esqueci como se abre uma garrafa de vidro."
"Taz o Diabo da Tasmânia","Campos do Jordão no inverno","Caixa de Pássaros","Que acha que o teto vai cair","O meu chinelo sumiu e voltou com o pé trocado."
"Marvin o Marciano","Gramado na festa de Natal","A Substância","Que acha que é o único adulto na sala","Alguém pediu uma pizza para este endereço em 1997."
"Gaguinho","Vale dos Vinhedos na colheita","Anatomia de uma Queda","Que acha que está sendo entrevistado","A minha caneta escreveu sozinha o nome de um estranho."
"Hortelino Troca-Letras","Serra gaúcha com neblina","Zona de Interesse","Que acha que está em um julgamento","Eu comprei um abacaxi e vieram dois de brinde."
"Ligeirinho","Ilhabela em trilha de cachoeira","Ainda Estou Aqui","Que acha que está em um velório","Tem um bilhete no meu bolso com a minha letra e eu não escrevi."
"Zé Colmeia","Arraial do Cabo em mar azul","Anora","Que acha que está em um casamento","O elevador parou em um andar que não existe."
"Catatau","Búzios na rua das pedras","O Brutalista","Que acha que ganhou uma promoção","Alguém trocou o meu café por chá sem me avisar."
"Snoopy","Copacabana na virada do ano","Conclave","Que acha que vai ser demitido","Eu ouvi o meu nome no rádio do carro do vizinho."
"Charlie Brown","Ipanema no posto nove","Flow","Que acha que esqueceu algo importante","O ventilador está girando para o outro lado."
"Garfield","Bondinho do Pão de Açúcar","Robô Selvagem","Que acha que deixou o carro aberto","A minha planta cresceu vinte centímetros durante o almoço."
"Odie","Escadaria Selarón","Furiosa","Que acha que ouviu o próprio nome","Tem um pé de sapato sozinho no meio da rua há três dias."
"Popeye","Feira de São Cristóvão","Perfect Days","Que acha que o celular vibrou","Eu descobri que o meu vizinho tem uma porta secreta."
"Olívia Palito","Mercadão de São Paulo","Vidas Passadas","Que acha que perdeu a carteira","O cachorro do porteiro aprendeu a apertar o botão do elevador."
"Brutus","Avenida Paulista no domingo","Aftersun","Que acha que está com febre","A minha geladeira está tocando uma música antiga."
"He-Man","Beco do Batman em Pinheiros","Close","Que acha que tem um bicho na roupa","Eu contei os degraus e hoje tem um a mais."
"Esqueleto","Estação da Luz","Godzilla Minus One","Que acha que pisou em algo molhado","O espelho do banheiro demorou dois segundos para me copiar."
"She-Ra","Terminal rodoviário do Tietê","Priscilla","Que acha que o chão está inclinado","Alguém colocou açúcar no saleiro de novo."
"Optimus Prime","Metrô de São Paulo na hora do pico","Napoleão","Que acha que a luz está forte demais","Eu acordei com os móveis todos trocados de lugar."
"Megatron","Ponte estaiada à noite","Ferrari","Que acha que está frio demais","Tem uma sombra no corredor sem ninguém para fazer ela."
"Bumblebee","Vale do Anhangabaú em show","Air a História por Trás do Logo","Que acha que está sendo seguido","O relógio da cozinha parou exatamente na hora que eu cheguei."
"Godzilla","Mercado Ver-o-Peso em Belém","Maestro","Que acha que conhece todo mundo","Eu recebi uma carta assinada por mim mesmo."
"King Kong","Teatro da Paz","Ilha dos Cachorros","Que acha que ninguém gosta dele","O meu guarda-roupa está mais fundo do que ontem."
"Ultraman","Praia da Costa em Vila Velha","O Fantástico Sr. Raposo","Que acha que todos gostam dele","Alguém está assobiando a minha música favorita lá fora."
"Jaspion","Convento da Penha no alto","Viagem a Darjeeling","Que acha que é mais velho do que é","Eu abri a janela e o barulho da rua parou."
"Changeman","Machu Picchu na neblina","A Crônica Francesa","Que acha que é mais novo do que é","Tem uma chave no meu bolso que não abre nada."
"Link","Petra na entrada do desfiladeiro","Cidade dos Asteroides","Que acha que fala outro idioma","O meu cachorro late só quando eu penso em sair."
"Princesa Zelda","Angkor Wat ao amanhecer","Coraline e o Mundo Secreto","Que acha que sabe cantar","A pia da cozinha está pingando em ritmo de samba."
"Ganondorf","Stonehenge no solstício","A Noiva Cadáver","Que acha que sabe dançar","Eu vi o mesmo homem em três cidades diferentes hoje."
"Luigi","Acrópole de Atenas ao meio-dia","O Estranho Mundo de Jack","Que acha que sabe cozinhar","Tem uma porta a mais no corredor deste prédio."
"Princesa Peach","Alhambra em Granada","Frankenweenie","Que acha que conserta qualquer coisa","O meu celular tocou com o número dele mesmo."
"Bowser","Sagrada Família em obras","Paranorman","Que acha que entende de carro","Eu pisei em uma poça que não estava lá antes."
"Yoshi","Torre de Pisa inclinada","Kubo e as Cordas Mágicas","Que acha que entende de vinho","O papel de parede mudou de desenho durante a noite."
"Toad","Duomo de Milão no terraço","A Fuga das Galinhas","Que acha que entende de política","Alguém deixou flores na minha porta sem bilhete."
"Wario","Louvre na fila da pirâmide","Wallace e Gromit","Que acha que entende de saúde","O meu nome apareceu em uma lista que eu nunca assinei."
"Knuckles","Museu Britânico na sala das múmias","Klaus","Que acha que entende de tecnologia","Eu vi um passarinho entrar no correio e não sair mais."
"Shadow the Hedgehog","Capela Sistina de cabeça erguida","O Touro Ferdinando","Que acha que prevê o tempo","O bolo cresceu tanto que levantou a tampa do forno."
"Kirby","Praça de São Pedro lotada","Rio","Que acha que sente energias","A minha sopa está mais salgada a cada colherada."
"Donkey Kong","Muro das Lamentações","Rio 2","Que acha que lê o pensamento","Eu contei as moedas três vezes e o valor mudou."
"Pac-Man","Monte Fuji na subida","Sing Quem Canta Seus Males Espanta","Que acha que dá azar tocar em tudo","Tem um assento a mais nesta mesa desde o começo."
"Mega Man","Templo dourado de Kyoto","Trolls","Que acha que o número treze traz sorte","A luz do poste da frente pisca quando eu passo."
"Samus Aran","Cruzamento de Shibuya na chuva","Os Croods","Que acha que espelho guarda memória","Eu tirei uma foto e apareceu uma pessoa a mais."
"Ryu","Mercado de peixe de Tóquio de madrugada","Vida de Inseto","Que acha que planta escuta conversa","O meu despertador tocou uma hora antes por conta própria."
"Chun-Li","Metrô de Tóquio com empurrador","FormiguinhaZ","Que acha que cachorro entende português","A televisão ligou sozinha no canal de notícias antigas."
"Blanka","Central Park no outono","Bee Movie","Com pressa sem motivo","Eu ouvi um bebê rindo no apartamento vazio."
"Zangief","Ponte do Brooklyn a pé","Turbo","Sem pressa nenhuma","Tem pegadas de areia no meu tapete e eu moro na serra."
"Scorpion","Golden Gate na neblina","Os Sem-Floresta","Com fome desde ontem","O gato do vizinho me trouxe um bilhete amarrado no pescoço."
"Sub-Zero","Grand Canyon ao amanhecer","Madagascar 2","Com sede de deserto","Eu sonhei com esta conversa exatamente assim semana passada."
"Raiden","Yellowstone no gêiser","Kung Fu Panda 2","Com sono de domingo à tarde","A escada rolante está indo mais devagar que o normal."
"Lara Croft","Cataratas do Niágara de barco","Como Treinar o Seu Dragão 2","Com energia de segunda de manhã","Eu perdi meia hora do meu dia e não sei onde."
"Kratos","Deserto do Saara em caravana","Shrek Terceiro","Com cansaço de sexta à noite","O meu relógio marca quinze para as sete faz duas horas."
"Geralt de Rívia","Deserto do Atacama à noite","Toy Story 3","Com preguiça de feriado","Alguém escreveu obrigado na poeira do meu carro."
"Arthur Morgan","Patagônia com vento cortante","Toy Story 4","Com ansiedade de véspera","Eu encontrei uma foto minha em um lugar onde nunca fui."
"Nathan Drake","Ushuaia no fim do mundo","Procurando Dory","Com euforia de fim de expediente","Todo mundo daqui está usando a mesma cor hoje."
"Solid Snake","Aurora boreal na Lapônia","Os Incríveis 2","Com tristeza de domingo à noite","Eu vi o carteiro entregar uma carta para uma casa vazia."
"Ezio Auditore","Vulcão da Islândia fumegando","Universidade Monstros","Com nervoso de primeiro dia","O ônibus passou duas vezes com o mesmo motorista dormindo."
"Steve do Minecraft","Alpes suíços no teleférico","Carros 2","Com calma de aposentado","Eu troquei de guarda-chuva com alguém sem perceber."
"Creeper","Oktoberfest na tenda de cerveja","Valente","Com pressa de quem perdeu o ônibus","Tem uma música tocando ao contrário na loja da esquina."
"Tripulante impostor","Carnaval de Veneza com máscaras","Soul","Com jeito de quem acordou agora","O meu café ficou frio antes de eu servir."
"Crash Bandicoot","Guerra de tomates na Espanha","Luca","Com cara de quem não dormiu","Eu contei as pessoas nesta sala e sempre dá um número diferente."
"Spyro","Festival de Holi cheio de pó colorido","Red Crescer é uma Fera","Com voz de quem gritou a noite toda","A porta do fundo range só quando ninguém está olhando."
"Bulbasaur","Dia dos Mortos no México","Elementos","Com olhar de quem viu algo estranho","Eu comprei pão e vieram doze em vez de dez."
"Squirtle","Ano-novo chinês com dragão de papel","Encanto","Com sorriso de quem esconde algo","O caixa me devolveu troco que eu nunca dei."
"Eevee","Mercado flutuante da Tailândia","Raya e o Último Dragão","Com postura de quem quer ir embora","A minha caneca voltou lavada e eu moro sozinho."
"Snorlax","Souk de Marrakech","Wish o Poder dos Desejos","Segurando um espirro há dez minutos","Eu ouvi passos no telhado e este prédio tem doze andares."
"Jigglypuff","Bazar de Istambul","Detona Ralph","Segurando o riso com esforço","A campainha tocou uma nota diferente hoje de manhã."
"Meowth","Trem transiberiano em movimento","WiFi Ralph","Segurando o choro na garganta","Tem um livro na minha estante que eu nunca comprei."
"Equipe Rocket","Cabine de trem de luxo europeu","Operação Big Hero","Segurando um bocejo enorme","Eu acho que estou vendo a mesma nuvem desde ontem."
"Agumon","Zepelim sobrevoando a cidade","Meu Malvado Favorito 2","Segurando uma sacola pesada","O termômetro marca a mesma temperatura em todo lugar."
"Yugi Muto","Balão dirigível em pane","Minions","Com o pé dormente","Eu perdi a noção de qual das gêmeas é a verdadeira."
"Emília a boneca","Submarino de pesquisa a mil metros","Pets a Vida Secreta dos Bichos","Com a mão gelada","A minha sombra chegou antes de mim na esquina."
"Visconde de Sabugosa","Batiscafo em descida","O Grinch","Com o nariz entupido","Eu vi um cachorro atravessar na faixa e esperar o sinal."
"Narizinho","Cápsula de fuga espacial","Lorax em Busca da Trúfula Perdida","Com a voz falhando","O papagaio da vizinha começou a repetir o meu segredo."
"Pedrinho do sítio","Elevador espacial em subida","Horton e o Mundo dos Quem","Com soluço no meio da frase","Eu abri o armário e caiu areia de praia."
"Dona Benta","Anel orbital em construção","Uma Aventura Lego","Com tosse seca insistente","O carteiro me chamou por um nome que não é meu."
"Tia Nastácia","Cinturão de asteroides em mineração","Lego Batman o Filme","Com espirro engatilhado","Tem uma janela iluminada naquele prédio abandonado."
"Cuca","Colônia flutuante em Vênus","Homem-Aranha Através do Aranhaverso","Com coceira no ouvido","Eu esqueci por que entrei nesta sala e já faz vinte minutos."
"Boitatá","Lua de Europa sob o gelo","Batman Ano Um","Com areia no sapato","A escada deste prédio tem um patamar a mais na volta."
"Bicho-papão","Cratera lunar em silêncio total","Sin City","Com pedrinha dentro do tênis","O meu ingresso tem o assento que eu sempre escolho."
"Corpo-seco","Rover parado em Marte","Homem-Aranha 2","Com etiqueta arranhando o pescoço","Eu acordei com a resposta de uma pergunta que ninguém fez."
"Matinta Perera","Estufa marciana com plantas","X-Men Primeira Classe","Com óculos escorregando do nariz","A tinta da parede secou com uma mancha em formato de rosto."
"Uirapuru encantado","Cápsula de criogenia acordando","Doutor Estranho no Multiverso da Loucura","Com cabelo caindo no olho","Eu vi a mesma placa de carro três vezes hoje."
"Baba Yaga","Nave de carga com piloto automático","Thor Amor e Trovão","Com camisa apertada demais","O relógio da praça bateu treze vezes ao meio-dia."
"Banshee","Estação de reabastecimento orbital","Homem-Aranha de Volta ao Lar","Com sapato novo apertando","Eu deixei a chave na fechadura e ela sumiu de dentro."
"Kitsune","Fábrica de robôs sem nenhum humano","Capitão América o Soldado Invernal","Com chinelo escorregando","A fila andou para trás por alguns segundos."
"Tengu","Laboratório de clonagem","Vingadores Guerra Infinita","Com meia caindo o tempo todo","Eu senti cheiro de mar bem no meio do sertão."
"Kappa","Sala de servidores de uma inteligência artificial","Vingadores Ultimato","Com boné entortando","O meu prato voltou da cozinha com um bilhete embaixo."
"Oni japonês","Simulação de realidade virtual travada","Homem de Ferro 3","Com mochila abrindo sozinha","Eu contei os passos até aqui e deram mil e um."
"Valquíria","Mundo digital em falha gráfica","Viúva Negra o Filme","Com bolso furado perdendo moedas","Tem um degrau pintado de outra cor que ninguém explica."
"Fenrir","Interior de um jogo de plataforma","Eternos","Com celular vibrando sem parar","Eu recebi um convite para uma festa que já aconteceu."
"Freya","Fase secreta de um jogo antigo","Shang-Chi e a Lenda dos Dez Anéis","Com o carregador na mão procurando tomada","O elevador subiu sozinho e voltou com cheiro de perfume."
"Heimdall","Tela azul de computador travado","Capitã Marvel","Com sacola de mercado estourando","Eu ouvi alguém cantando na língua que a minha avó falava."
"Rá o deus sol","Caixa de entrada com dez mil emails","As Marvels","Com guarda-chuva virado pelo vento","O meu retrato de infância está sorrindo diferente hoje."
"Ísis","Grupo de família no aplicativo às sete da manhã","Pantera Negra Wakanda para Sempre","Com casaco amarrado na cintura","Eu comprei uma planta e ela veio com um bilhete de desculpas."
"Osíris","Chamada de vídeo com todo mundo mudo","Venom o Filme","Que fala como um narrador de novela dublada","A minha bicicleta está com o guidão apontando para o outro lado."
"Hórus","Reunião online que podia ser um email","Morbius","Que fala como um professor explicando pela terceira vez","Eu esqueci o nome da rua onde eu moro por três minutos."
"Hera","Live com cem espectadores","Aquaman e o Reino Perdido","Que fala como um guia de trilha animado demais","Tem uma sombra de árvore aqui e nenhuma árvore por perto."
"Ares","Transmissão ao vivo com atraso","The Flash o Filme","Que fala como um comissário mostrando as saídas de emergência","Eu vi o mesmo pombo no ponto de ônibus a semana inteira."
"Hermes","Estúdio de podcast com espuma na parede","Adão Negro","Que fala como um caixa no fim do expediente","O relógio de pulso dele está atrasado exatamente uma hora."
"Dionísio","Cabine de rádio comunitária","Liga da Justiça","Que fala como um atendente de drive-thru","Eu abri a torneira e saiu água morna com cheiro de chuva."
"Hefesto","Carro de som em campanha eleitoral","Homem-Aranha 3","Que fala como um narrador de audiolivro calmo","A minha carteira está mais leve e nada foi retirado."
"Ártemis","Comício em praça pública","Kick-Ass","Que fala como um instrutor de ioga","Eu peguei o ônibus errado e cheguei mais rápido."
"Deméter","Boca de urna em dia de eleição","Kingsman Serviço Secreto","Que fala como um cantor de ópera aquecendo a voz","O padeiro me deu o pão antes de eu pedir."
"Perséfone","Sessão do tribunal do júri","Baby Driver","Que fala como um repentista de feira","Eu escrevi uma lista e apareceu um item a mais."
"Prometeu","Cartório eleitoral","Resgate","Que fala como um poeta de cordel","Tem um espelho no fim daquele corredor que não reflete nada."
"Ícaro","Delegacia da mulher","Atômica","Que fala como um pregador de praça pública","Eu passei por essa esquina duas vezes indo em frente."
"Dédalo","Corpo de bombeiros em treinamento","Anjos da Lei","Que fala como um camelô de trem urbano","O meu bilhete de loteria tem os números do meu aniversário."
"Aquiles","Central de emergência recebendo trote","Todo Mundo em Pânico","Que fala como um vendedor de bala no sinal","Eu me lembrei de uma cidade onde eu nunca estive."
"Heitor de Troia","Viatura em patrulhamento","O Professor Aloprado","Que fala como um garçom decorando o pedido","O relógio da estação está sempre cinco minutos à frente."
"Odisseu","Blitz de trânsito na madrugada","A Família Buscapé","Que fala como um recepcionista de hotel cinco estrelas","Eu segurei a porta para alguém que não existia."
"Penélope","Pátio do Detran cheio de carros","Um Príncipe em Nova York","Que fala como um operador de telemarketing lendo script","A minha planta se virou para o lado errado do sol."
"Circe","Autoescola na aula teórica","Um Maluco no Golfe","Que fala como um assistente virtual que não entendeu","Eu vi uma criança contar uma história que aconteceu comigo."
"Quimera","Sala de espera do INSS","Gente Grande","Que fala como um GPS insistindo na rota","O rádio do táxi tocou a mesma música três vezes."
"Hidra de Lerna","Fila do seguro-desemprego","Click","Que fala como um manual de instruções mal traduzido","Eu deixei o caderno em branco e ele voltou escrito."
"Harpia","Agência dos correios com fila na porta","Como se Fosse a Primeira Vez","Que fala como uma bula de remédio","A vizinha me agradeceu por um favor que eu não fiz."
"Cronos","Central de triagem de encomendas","Uma Noite no Museu","Que fala como um contrato de aluguel","Eu ouvi o mar dentro de uma casa sem concha nenhuma."
"Gaia","Caminhão de mudança carregado","Adoráveis Mulheres","Que fala como um edital de concurso","Tem um número de telefone escrito na parede com a minha letra."
"Caronte o barqueiro","Depósito de móveis usados","O Grande Gatsby","Que fala como uma ata de reunião","Eu acho que este lugar cheira exatamente igual à minha infância."
"Eros","Brique de antiguidades","Malévola","Que fala como um telegrama antigo","O cachorro parou de latir na hora exata que eu pensei em pedir."
"Psiquê","Loja de discos de vinil","A Bela e a Fera em Live Action","Que fala como uma carta de amor do século passado","Eu perdi a chave e ela apareceu no bolso do casaco de inverno."
"Narciso","Locadora de vídeo abandonada","Aladdin em Live Action","Que fala como uma legenda de foto de rede social","A escada de emergência deste prédio leva para dentro de novo."
"Eco","Fliperama dos anos noventa","Mogli o Menino Lobo","Que fala como um comentário de internet","Eu tirei o cochilo mais longo da minha vida em cinco minutos."
"Pandora","Lan house com computadores velhos","Dumbo","Que fala como uma mensagem de bom dia com corrente","Alguém deixou um guarda-chuva aberto dentro da sala."
"Rei Midas","Loja de eletrônicos com trinta televisões ligadas","Christopher Robin","Que fala como uma placa de trânsito","Eu vi um homem lendo o jornal de amanhã."
"Sísifo","Assistência técnica de celular","Paddington","Que fala como um aviso de elevador em manutenção","A minha carteira de trabalho tem uma assinatura que eu não reconheço."
"Órfeu","Loja de instrumentos musicais","Paddington 2","Que fala como um cartaz de promoção de mercado","O meu nome estava escrito na areia quando eu cheguei na praia."
"Eurídice","Estúdio de gravação com cabine","As Aventuras de Tintim","Que fala como um panfleto de rua","Eu contei as janelas do prédio e nunca dá o mesmo número."
"Teseu","Casa de show antes da abertura","Eragon","Que fala como um sermão de missa","Tem um armário aqui que abre para outro cômodo."
"Perseu","Camarim compartilhado","Stardust o Mistério da Estrela","Que fala como um discurso de formatura","Eu acordei com a impressão de ter esquecido uma vida inteira."
"Andrômeda","Backstage de festival","A Ponte para Terabítia","Que fala como um brinde de casamento","Você faria a gentileza de repetir tudo mais devagar?"
"Quíron o centauro","Palco principal no soundcheck","O Doador de Memórias","Que fala como um pedido de desculpas ensaiado","Eu preciso muito falar com você em particular."
"Jasão","Mesa de som no meio do público","Corra Lola Corra","Que fala como um depoimento de testemunha","A gente pode conversar sobre isso amanhã com calma?"
"Medeia","Área vip completamente vazia","O Labirinto do Fauno","Que fala como um interrogatório policial","Prometa que você não vai contar isso para ninguém."
"Confúcio","Fila de banheiro químico","A Espinha do Diabo","Que fala como um boletim de ocorrência","Eu tomei uma decisão e vou até o fim dela."
"Buda Sidarta","Estacionamento de festival na saída","Volver","Que fala como um laudo médico","Não é o que parece mas também não é muito diferente."
"Gêngis Khan","Van de turnê na estrada","Fale com Ela","Que fala como um diagnóstico ruim dado com jeitinho","Eu vim aqui para acertar as contas com o passado."
"Átila o Huno","Ônibus de excursão com karaokê","Tudo sobre Minha Mãe","Que fala como um horóscopo genérico","Chegou o momento de eu dizer o que penso."
"Carlos Magno","Trem noturno com beliche","Dor e Glória","Que fala como uma leitura de tarô","A minha paciência com essa história tem limite."
"Ricardo Coração de Leão","Vagão restaurante","Relatos Selvagens","Que fala como um biscoito da sorte","Eu esperei anos para ouvir isso de você."
"Saladino","Plataforma de estação deserta","O Segredo dos Seus Olhos","Que fala como uma legenda de documentário de guerra","Você tem noção do tamanho do problema que criou?"
"Marco Polo","Sala de espera de rodoviária às quatro da manhã","O Clã","Que fala como um trailer de filme de ação","Nós dois sabemos o que aconteceu naquela noite."
"Cristóvão Colombo","Guichê de passagem com fila","Nove Rainhas","Que fala como uma chamada de novela","Isso não vai ficar assim e você sabe disso."
"Vasco da Gama","Sala de embarque com voo cancelado","Machuca","Que fala como uma vinheta de programa de auditório","Eu abri mão de tudo por causa de uma promessa."
"Pedro Álvares Cabral","Esteira de bagagem sem nenhuma mala","Uma Mulher Fantástica","Que fala como um jingle de campanha","Alguém nesta sala está mentindo desde o começo."
"Fernão de Magalhães","Achados e perdidos de aeroporto","Amores Brutos","Que fala como um locutor de aeroporto","Chegou a hora de todo mundo saber a verdade."
"Américo Vespúcio","Fila da imigração","21 Gramas","Que fala como um narrador de desfile de escola de samba","Eu guardei essa carta por trinta anos."
"Nicolau Copérnico","Free shop de aeroporto","Babel","Que fala como um comentarista de culinária","Você jurou que aquilo ficaria entre nós."
"Johannes Kepler","Lounge de aeroporto com café frio","Biutiful","Que fala como um jurado de programa de calouros","Eu descobri o que estava dentro daquele envelope."
"Tycho Brahe","Poltrona do meio em voo longo","E Sua Mãe Também","Que fala como um apresentador de reality de sobrevivência","Nunca imaginei que fosse terminar desse jeito."
"Johannes Gutenberg","Banheiro de avião com turbulência","Abril Despedaçado","Que fala como um repórter de trânsito no helicóptero","Eu vou embora e desta vez é definitivo."
"Michelangelo","Cabine de piloto no pouso","Terra Estrangeira","Que fala como um âncora de plantão jornalístico","Você me subestimou pela última vez."
"Rafael Sanzio","Torre de controle durante tempestade","Diários de Motocicleta","Que fala como um previsor do tempo animado","Ninguém sai desta sala antes de eu terminar."
"Botticelli","Hangar de dirigível","O Ano em Que Meus Pais Saíram de Férias","Que fala como um narrador de pegadinha","Eu preferia não ter descoberto nada disso."
"Caravaggio","Museu aeroespacial","Lixo Extraordinário","Que fala como um dublador de comercial de carro","O silêncio de vocês fala mais alto que qualquer explicação."
"Rembrandt","Planetário durante o eclipse","O Menino e o Mundo","Que fala como um vilão explicando o plano inteiro","Eu vou perguntar uma última vez e quero a verdade."
"Claude Monet","Observatório com telescópio gigante","Uma História de Amor e Fúria","Que fala como um herói fazendo o discurso final","Aquela viagem mudou tudo entre nós."
"Auguste Renoir","Laboratório de física de partículas","Perlimps","Que fala como um mestre de dojô rígido","Eu carreguei essa culpa sozinho por tempo demais."
"Edgar Degas","Sala de anatomia com esqueleto","O Estrangeiro","Que fala como um sábio da montanha","Você fez a sua escolha e agora aguenta."
"Paul Cézanne","Herbário com plantas prensadas","A Peste","Que fala como um oráculo confuso","Eu vim buscar o que é meu de direito."
"Paul Gauguin","Insetário com vitrines","O Mito de Sísifo","Que fala como um profeta do apocalipse","A partir de hoje as regras aqui são outras."
"Edvard Munch","Borboletário com voo livre","A Náusea","Que fala como um alquimista medieval","Eu já perdoei coisa pior do que isso."
"Wassily Kandinsky","Serpentário na hora da alimentação","O Segundo Sexo","Que fala como um escriba do faraó","Não me chame de covarde antes de saber o motivo."
"Henri Matisse","Aquário de água doce","Ulisses","Que fala como um cavaleiro jurando lealdade","Aquele contrato tinha uma cláusula escondida."
"Andy Warhol","Tanque de reabilitação de tartarugas","Em Busca do Tempo Perdido","Que fala como um bardo de taverna","Eu tenho as provas guardadas em lugar seguro."
"Jean-Michel Basquiat","Santuário de elefantes","Madame Bovary","Que fala como um pirata sem dentes","Nós fomos amigos e é por isso que dói tanto."
"Maurits Escher","Fazenda de gado leiteiro na ordenha","O Vermelho e o Negro","Que fala como um caubói de faroeste","Eu não quero briga eu quero uma explicação."
"René Magritte","Granja de ovos com esteira","Germinal","Que fala como um detetive noir cansado","Você olhou nos meus olhos e mentiu."
"Johann Sebastian Bach","Apiário com colmeias","Os Três Mosqueteiros","Que fala como um mordomo inglês","Essa história começou muito antes de você nascer."
"Frédéric Chopin","Minhocário de compostagem","Vinte Mil Léguas Submarinas","Que fala como uma governanta severa","Eu troquei a minha vida inteira por essa promessa."
"Piotr Tchaikovsky","Viveiro de mudas","A Volta ao Mundo em 80 Dias","Que fala como uma tia oferecendo comida sem parar","Alguém aqui vai ter que assumir a responsabilidade."
